timestamp,consumption
2026-01-10 16:50:24.849030,4.35
2026-01-10 17:05:24.849030,3.13
2026-01-10 17:20:24.849030,3.28
2026-01-10 17:35:24.849030,3.02
2026-01-10 17:50:24.849030,3.24
2026-01-10 18:05:24.849030,2.82
2026-01-10 18:20:24.849030,2.72
2026-01-10 18:35:24.849030,3.01
2026-01-10 18:50:24.849030,2.58
2026-01-10 19:05:24.849030,2.74
2026-01-10 19:20:24.849030,3.14
2026-01-10 19:35:24.849030,3.21
2026-01-10 19:50:24.849030,3.38
2026-01-10 20:05:24.849030,3.22
2026-01-10 20:20:24.849030,3.08
2026-01-10 20:35:24.849030,2.85
2026-01-10 20:50:24.849030,2.57
2026-01-10 21:05:24.849030,3.1
2026-01-10 21:20:24.849030,2.97
2026-01-10 21:35:24.849030,2.89
2026-01-10 21:50:24.849030,3.11
2026-01-10 22:05:24.849030,3.17
2026-01-10 22:20:24.849030,3.35
2026-01-10 22:35:24.849030,2.84
2026-01-10 22:50:24.849030,2.75
2026-01-10 23:05:24.849030,3.38
2026-01-10 23:20:24.849030,2.81
2026-01-10 23:35:24.849030,3.04
2026-01-10 23:50:24.849030,3.09
2026-01-11 00:05:24.849030,3.16
2026-01-11 00:20:24.849030,3.07
2026-01-11 00:35:24.849030,3.02
2026-01-11 00:50:24.849030,2.99
2026-01-11 01:05:24.849030,3.34
2026-01-11 01:20:24.849030,3.07
2026-01-11 01:35:24.849030,3.1
2026-01-11 01:50:24.849030,3.02
2026-01-11 02:05:24.849030,3.16
2026-01-11 02:20:24.849030,3.22
2026-01-11 02:35:24.849030,3.34
2026-01-11 02:50:24.849030,3.05
2026-01-11 03:05:24.849030,0.9
2026-01-11 03:20:24.849030,0.9
2026-01-11 03:35:24.849030,0.9
2026-01-11 03:50:24.849030,0.9
2026-01-11 04:05:24.849030,0.9
2026-01-11 04:20:24.849030,0.9
2026-01-11 04:35:24.849030,0.9
2026-01-11 04:50:24.849030,0.9
2026-01-11 05:05:24.849030,0.9
2026-01-11 05:20:24.849030,0.9
2026-01-11 05:35:24.849030,0.9
2026-01-11 05:50:24.849030,0.9
2026-01-11 06:05:24.849030,0.9
2026-01-11 06:20:24.849030,0.9
2026-01-11 06:35:24.849030,0.9
2026-01-11 06:50:24.849030,0.9
2026-01-11 07:05:24.849030,0.9
2026-01-11 07:20:24.849030,0.9
2026-01-11 07:35:24.849030,0.9
